time,DHG,target,VNINDEX_lag2,PHARMA_lag1
2022-08-12,84.1,0,1256.5,24.63137931034483
2022-08-15,83.65,0,1252.07,24.858275862068965
2022-08-16,83.2,0,1262.33,24.36051724137932
2022-08-17,83.2,1,1274.2,24.28672413793103
2022-08-18,83.38,1,1274.69,24.190172413793103
2022-08-19,84.83,1,1275.28,24.069137931034483
2022-08-22,85.38,0,1273.66,24.31241379310345
2022-08-23,84.47,1,1269.18,24.09051724137931
2022-08-24,85.1,0,1260.43,24.075
2022-08-25,84.74,0,1270.81,24.08431034482759
2022-08-26,84.74,0,1277.16,24.10137931034483
2022-08-29,83.56,0,1288.88,24.0496551724138
2022-08-30,82.74,0,1282.57,23.901379310344826
2022-08-31,82.65,1,1270.8,23.77758620689655
2022-09-05,83.01,1,1279.39,23.83672413793104
2022-09-06,83.56,0,1280.51,23.977068965517244
2022-09-07,82.65,0,1277.35,23.83155172413793
2022-09-08,82.02,0,1277.4,23.655862068965515
2022-09-09,82.02,1,1243.17,23.727758620689656
2022-09-12,83.56,0,1234.6,23.82689655172414
2022-09-13,82.47,0,1248.78,23.72068965517241
2022-09-14,82.2,1,1249.62,23.80275862068965
2022-09-15,82.74,0,1248.4,23.66379310344828
2022-09-16,82.56,0,1240.77,23.66379310344828
2022-09-19,81.92,1,1245.66,23.54827586206897
2022-09-20,82.47,0,1234.03,23.6896551724138
2022-09-21,81.11,1,1205.43,23.57844827586207
2022-09-22,81.56,0,1218.93,23.44258620689656
2022-09-23,80.83,0,1210.55,23.53862068965517
2022-09-26,79.38,1,1214.7,23.58672413793104
2022-09-27,80.47,0,1203.28,23.446551724137933
2022-09-28,80.47,0,1174.35,23.547241379310343
2022-09-29,78.56,0,1166.54,23.31379310344828
2022-09-30,77.66,1,1143.62,23.7351724137931
2022-10-03,77.75,0,1126.07,23.582758620689653
2022-10-04,76.75,1,1132.11,23.455
2022-10-05,77.2,0,1086.44,23.45706896551724
2022-10-06,76.29,0,1078.14,23.40396551724138
2022-10-07,76.29,0,1104.26,23.37448275862069
2022-10-10,75.39,0,1074.52,23.06758620689656
2022-10-11,73.57,1,1035.91,22.89034482758621
2022-10-12,76.48,0,1042.48,22.69913793103448
2022-10-13,76.29,0,1006.2,22.969310344827587
2022-10-14,75.66,0,1034.81,23.002068965517243
2022-10-17,75.29,1,1050.99,23.11810344827586
2022-10-18,75.75,1,1061.85,22.95551724137931
2022-10-19,78.11,1,1051.58,22.923965517241378
2022-10-20,81.74,0,1063.66,22.922758620689656
2022-10-21,81.74,0,1060.07,23.035
2022-10-24,79.93,1,1058.45,23.12879310344828
2022-10-25,80.38,0,1019.82,23.17551724137931
2022-10-26,79.74,0,986.15,23.279827586206896
2022-10-27,79.74,0,997.7,23.13189655172414
2022-10-28,79.38,0,993.36,22.86379310344828
2022-10-31,78.11,0,1028.01,22.93275862068965
2022-11-01,77.38,1,1027.36,22.83775862068965
2022-11-02,78.11,0,1027.94,23.22396551724138
2022-11-03,77.75,0,1033.75,22.82913793103448
2022-11-04,76.93,0,1023.19,22.910172413793106
2022-11-07,76.02,0,1019.81,22.903275862068963
2022-11-08,76.02,0,997.15,22.58206896551724
2022-11-09,76.02,0,975.19,22.404310344827586
2022-11-10,74.02,0,981.65,22.525
2022-11-11,73.93,1,985.59,22.42137931034483
2022-11-14,74.84,0,947.24,22.231929824561405
2022-11-15,72.57,1,954.53,21.86586206896552
2022-11-16,74.02,1,941.04,21.67293103448276
2022-11-17,74.66,1,911.9,21.86568965517241
2022-11-18,75.57,0,942.9,21.886206896551723
2022-11-21,74.48,1,969.26,22.037586206896552
2022-11-22,75.11,0,969.33,22.1946551724138
2022-11-23,74.48,0,960.65,22.07637931034483
2022-11-24,74.3,0,952.12,22.21206896551724
2022-11-25,73.3,1,946.0,22.29758620689655
2022-11-28,75.39,0,947.71,22.24578947368421
2022-11-29,74.57,1,971.46,22.264137931034483
2022-11-30,78.11,0,1005.69,22.39051724137931
2022-12-01,76.66,0,1032.16,22.650517241379312
2022-12-02,76.57,1,1048.42,22.326206896551724
2022-12-05,77.93,0,1036.28,22.81051724137931
2022-12-06,77.2,0,1080.01,23.00586206896552
2022-12-07,76.75,1,1093.67,22.81793103448276
2022-12-08,78.02,0,1048.69,22.78210526315789
2022-12-09,77.02,1,1041.02,22.98263157894737
2022-12-12,77.29,0,1050.53,22.50175438596491
2022-12-13,77.11,1,1051.81,22.50122807017544
2022-12-14,77.66,0,1032.07,22.37736842105263
2022-12-15,77.66,1,1047.45,22.359649122807017
2022-12-16,77.93,0,1050.43,22.68896551724137
2022-12-19,77.84,0,1055.32,22.614736842105263
2022-12-20,77.57,0,1052.48,22.562631578947368
2022-12-21,77.57,0,1038.4,22.924736842105265
2022-12-22,77.11,1,1023.13,22.762758620689656
2022-12-23,77.75,0,1018.88,22.74948275862069
2022-12-26,76.75,0,1022.61,22.79438596491228
2022-12-27,76.75,1,1020.34,23.00379310344828
2022-12-28,77.29,0,985.21,22.893275862068965
2022-12-29,77.11,0,1004.57,23.17206896551724
2022-12-30,77.11,1,1015.66,23.501379310344827
2023-01-03,78.47,1,1009.29,23.63362068965517
2023-01-04,79.02,0,1007.09,23.75741379310345
2023-01-05,78.93,0,1043.9,23.88758620689655
2023-01-06,78.29,1,1046.35,23.50948275862069
2023-01-09,78.47,1,1055.82,23.55152542372881
2023-01-10,79.74,1,1051.44,23.637966101694914
2023-01-11,80.83,0,1054.21,24.03067796610169
2023-01-12,79.74,0,1053.35,23.985593220338984
2023-01-13,79.65,0,1055.76,23.58796610169492
2023-01-16,79.29,1,1056.39,23.43
2023-01-17,79.93,0,1060.17,23.40542372881356
2023-01-18,79.47,1,1066.68,23.52694915254237
2023-01-19,81.2,1,1088.29,23.753728813559324
2023-01-27,84.56,1,1098.28,24.07898305084745
2023-01-30,85.56,1,1108.08,24.368813559322035
2023-01-31,85.74,0,1117.1,24.32694915254237
2023-02-01,85.19,0,1102.57,24.190338983050847
2023-02-02,85.19,1,1111.18,23.881525423728814
2023-02-03,87.74,1,1075.97,23.71135593220339
2023-02-06,87.92,1,1077.59,23.95084745762712
2023-02-07,88.46,0,1077.15,24.003389830508475
2023-02-08,87.37,0,1089.29,24.07067796610169
2023-02-09,86.65,1,1065.84,24.0342372881356
2023-02-10,87.56,1,1072.22,23.98915254237288
2023-02-13,89.01,1,1064.03,24.11728813559322
2023-02-14,89.46,1,1055.3,24.24694915254237
2023-02-15,89.92,0,1043.7,24.19406779661017
2023-02-16,89.83,0,1038.64,24.144745762711864
2023-02-17,89.19,0,1048.2,24.246610169491525
2023-02-20,88.74,1,1058.29,24.59542372881356
2023-02-21,89.83,0,1059.31,24.45137931034483
2023-02-22,89.01,1,1086.69,24.276896551724136
2023-02-23,89.37,0,1082.23,24.30310344827586
2023-02-24,88.1,0,1054.28,23.936610169491527
